processed
-1310.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1282.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1310.0 130.0 0.0 0.0 0.0 1.0 0.0 	-1282.0 130.0 0.0 0.0 0.0 1.0 0.0  1
-968.0 182.0 0.0 0.0 0.0 1.0 0.0 	-956.0 182.0 0.0 0.0 0.0 1.0 0.0 	-968.0 194.0 0.0 0.0 0.0 1.0 0.0 	-956.0 194.0 0.0 0.0 0.0 1.0 0.0  1
-1206.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1172.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1206.0 120.0 0.0 0.0 0.0 1.0 0.0 	-1172.0 120.0 0.0 0.0 0.0 1.0 0.0  1
200.0 450.0 0.0 0.0 0.0 1.0 0.0 	3000.0 450.0 0.0 0.0 0.0 1.0 0.0 	200.0 644.0 0.0 0.0 0.0 1.0 0.0 	3000.0 644.0 0.0 0.0 0.0 1.0 0.0  1
-1062.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1034.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1062.0 134.0 0.0 0.0 0.0 1.0 0.0 	-1034.0 134.0 0.0 0.0 0.0 1.0 0.0  1
-3000.0 -3000.0 0.0 0.0 0.0 1.0 0.0 	3000.0 -3000.0 0.0 0.0 0.0 1.0 0.0 	-3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0  1
-3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	200.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	-3000.0 3000.0 0.0 0.0 0.0 1.0 0.0 	200.0 3000.0 0.0 0.0 0.0 1.0 0.0  1
1734.0 190.0 0.0 0.0 0.0 1.0 0.0 	2659.682 190.0 0.0 0.0 0.0 1.0 0.0 	1734.0 450.0 0.0 0.0 0.0 1.0 0.0 	2659.682 450.0 0.0 0.0 0.0 1.0 0.0  1
200.0 290.0 0.0 0.0 0.0 1.0 0.0 	414.0 290.0 0.0 0.0 0.0 1.0 0.0 	200.0 450.0 0.0 0.0 0.0 1.0 0.0 	414.0 450.0 0.0 0.0 0.0 1.0 0.0  1
200.0 -1030.0 0.0 0.0 0.0 1.0 0.0 	980.0 -1030.0 0.0 0.0 0.0 1.0 0.0 	200.0 290.0 0.0 0.0 0.0 1.0 0.0 	980.0 290.0 0.0 0.0 0.0 1.0 0.0  1
